Label (sphere sorted by M-D order),z-sphere,x-sphere,y-sphere,size-sphere
AB,5.20788332,36.7097934,84.1100155,31.14600853
ABa,5.46013923,-32.4728195,86.5882975,27.70490481
ABal,5.87358695,-59.5624087,78.789261,23.13680848
ABala,5.65026667,-71.2216658,89.4521881,16.70493016
ABalaa,5.45018317,-79.8799586,87.646865,11.42230282
ABalaaa,5.35596805,-87.3984996,88.858569,5.50282231
ABalaaaa,5.16928346,-81.5985975,87.2234976,-1.95237686
ABalaaaal,5.44067904,-89.374439,78.0434872,-8.9238327
ABalaaaala,5.20012865,-91.4746795,74.5243038,-13.71356039
ABalaaaalp,5.12914866,-74.1794484,67.6337083,-13.05107734
ABalaaaar,5.21474142,-98.2274186,86.2021354,-9.32838447
ABalaaaarl,5.20793547,-96.4433322,82.3354275,-13.26203004
ABalaaaarr,5.13382745,-88.0615922,90.8160341,-13.2438981
ABalaaap,5.28929984,-65.1887649,93.5310557,-1.08071929
ABalaaapa,5.47055701,-93.1831241,87.8000166,-8.37525302
ABalaaapal,5.42603392,-96.5416789,77.3739726,-12.62249121
ABalaaapar,5.52088871,-104.3673847,87.5672019,-13.93936804
ABalaaapp,5.46815332,-74.6321588,94.2444135,-8.29523241
ABalaaappl,5.43146842,-98.8703085,94.1822012,-13.44090155
ABalaaappr,5.34470627,-80.720451,99.49308,-12.61819788
ABalaap,5.20641156,-55.7167192,80.5171422,5.46643297
ABalaapa,5.15888577,-47.4651699,91.3233492,-2.13793691
ABalaapaa,5.13463551,-75.4108024,95.2569109,-9.28352121
ABalaapaaa,5.16164834,-74.4855645,95.3591499,-13.90651688
ABalaapaap,4.96894119,-49.2928592,99.0276321,-13.63247008
ABalaapap,5.07145362,-51.1735249,100.1217638,-9.49763994
ABalaapapp,5.00014263,-27.9795503,104.1938745,-13.13927335
ABalaapp,5.17762694,-8.4398753,91.9005248,-1.84504039
ABalaappa,5.52226905,-55.667677,99.9592578,-9.01226525
ABalaappap,5.35872626,-52.237754,102.6255389,-13.10459016
ABalaappp,5.6539621,-32.7803973,101.4123624,-8.10385219
ABalaapppa,5.70644431,-67.6786886,102.2371014,-12.83196251
ABalaapppp,5.85731052,-48.0927937,105.548175,-12.27829307
ABalap,5.95201609,-53.3537703,98.231559,11.92316655
ABalapa,5.86116555,-65.2499713,97.360895,5.84601882
ABalapaa,5.80967898,-67.2621025,92.4348035,-1.47977811
ABalapaaa,5.92312419,-80.479354,82.3658329,-8.73559467
ABalapaaaa,5.68920471,-92.2584805,79.7203417,-13.63051879
ABalapaaap,6.07438026,-78.0832323,77.5542131,-12.75651348
ABalapaap,5.98335746,-63.8760955,77.332113,-8.16799744
ABalapaapa,5.85782977,-79.3587725,73.0037708,-13.23391724
ABalapaapp,5.94319228,-60.5668923,70.4183541,-12.43464506
ABalapap,6.02298948,-35.7404859,97.1956736,-1.61941492
ABalapapa,6.17729018,-50.8190565,84.320697,-8.74390178
ABalapapap,6.28679093,-58.0146524,81.4600112,-12.70632003
ABalapapp,5.95728232,-14.3942904,82.0193159,-7.80228201
ABalapappa,6.11280208,-37.4592694,74.942121,-12.04767045
ABalapappp,6.14722646,-5.4618393,75.4198768,-12.66062679
ABalapp,5.47129876,-23.9377206,89.8048542,5.88478282
ABalappa,5.57113069,-29.0949008,95.0820114,-2.03015534
ABalappaa,5.94424777,-77.8550619,90.5684716,-9.75178331
ABalappaap,6.00142628,-84.6432963,89.8689786,-13.55733452
ABalappap,5.9224753,-53.8167794,95.1173954,-8.52614414
ABalappapa,5.83527752,-86.2071415,98.8619341,-13.59888432
ABalappapp,6.01426037,-69.0863214,102.313396,-12.67462181
ABalappp,5.49555819,14.7088498,92.7416346,-1.49011183
ABalapppa,5.96779511,-25.0233461,97.1744028,-8.01161982
ABalapppaa,6.17658165,-67.762472,95.642278,-12.78251369
ABalapppap,6.31596152,-44.0627742,98.9811679,-12.24881989
ABalapppp,5.75112251,15.3387228,98.5344024,-7.90194186
ABalappppa,5.98972358,-23.3612204,102.917311,-12.2401094
ABalappppp,6.04617942,8.0700356,103.5224234,-12.77877105
ABalp,5.83707277,-39.8338583,70.8212675,16.84736765
ABalpa,5.89042809,-64.0827848,72.2335946,11.89750469
ABalpaa,5.94066145,-77.6005688,75.9579242,5.94122736
ABalpaaa,5.20930668,-85.7780939,80.7810635,-1.8713398
ABalpaaaa,4.7450927,-76.0766525,81.4298236,-8.96606702
ABalpaaaaa,4.69171107,-68.5516344,78.3226684,-13.22721327
ABalpaaaap,4.59666063,-41.9813073,78.7211875,-13.65683763
ABalpaaap,4.77177181,-55.9890471,76.436931,-9.13031693
ABalpaaapa,4.76417749,-36.8308018,75.2116189,-13.50227774
ABalpaaapp,4.8242556,-14.8626678,75.2963702,-13.38955381
ABalpaap,5.73270291,-67.7868534,76.648192,0.35606079
ABalpaapa,5.24707636,-80.5843572,78.3653792,-6.24663567
ABalpaapaa,4.95076198,-81.9927139,80.7813127,-11.93244832
ABalpaapap,5.00759826,-56.5012959,75.2784928,-11.03355715
ABalpaapp,5.23968955,-49.2728479,72.3921077,-7.43984453
ABalpaappa,4.97301775,-67.052855,69.8003368,-12.86520479
ABalpaappp,4.96266005,-41.2214403,67.832591,-12.22203033
ABalpap,5.68368728,-38.9725444,65.8494089,6.47938169
ABalpapa,5.43644619,-66.263403,70.4585031,-1.03656686
ABalpapaa,4.95497543,-59.0198086,72.4015764,-8.27766422
ABalpapaaa,4.53408487,-41.8018672,69.9787817,-12.65872355
ABalpapaap,4.46335204,-16.1169091,70.2877966,-13.87414073
ABalpapap,4.94491393,-27.9003919,71.4129592,-7.74070772
ABalpapapa,4.58866609,-2.0671303,65.511908,-12.41736699
ABalpapapp,4.5174742,25.8680844,64.847191,-13.4502494
ABalpapp,5.385505,-20.9189925,66.3669353,-0.2250856
ABalpappa,4.76340531,-19.1686385,74.0413131,-7.76416336
ABalpappaa,4.59460467,-14.1122368,74.576443,-13.09970967
ABalpappap,4.47016767,12.0963206,74.7333626,-12.46982263
ABalpappp,4.61315614,13.7768591,74.3024072,-6.94999299
ABalpapppa,4.70185128,8.4740885,75.5955364,-12.32024188
ABalpapppp,4.54492572,40.3989448,74.5092333,-11.49295271
ABalpp,6.44172876,-9.3595517,69.6294565,11.43081331
ABalppa,6.50866256,-30.6496842,69.7240589,5.55783504
ABalppaa,6.04298041,-65.5329835,69.8558759,-2.38644716
ABalppaaa,5.60095453,-65.5921431,69.7411275,-9.61673055
ABalppaaap,5.47468338,-69.3433948,64.9868995,-13.03749093
ABalppaap,5.51280623,-45.5138749,65.1739639,-9.47219714
