Label (sphere sorted by M-D order),xnorm-sphere,ynorm-sphere,znorm-sphere,Mean division time (minutes) - Sulston normalization,Volume (approximation)
ABa,-103.4094606,0.85013855,-0.062615615,42,72.75661376
ABal,-130.4990498,-6.94889795,0.350832105,55,71.7601476
ABala,-142.1583069,3.71402915,0.127511825,74,66.96825397
ABalaa,-150.8165997,1.90870605,-0.072571675,102,59.80122951
ABalaaa,-158.3351407,3.12041005,-0.166786795,136,52.91049914
ABalaaaa,-152.5352386,1.48533865,-0.353471385,180,45.57032258
ABalaaaal,-160.3110801,-7.69467175,-0.082075805,231,37.75111111
ABalaaaala,-162.4113206,-11.21385515,-0.322626195,329,32.3974359
ABalaaaalp,-145.1160895,-18.10445065,-0.393606185,324,32.42657343
ABalaaaar,-169.1640597,0.46397645,-0.308013425,232,37.21953897
ABalaaaarl,-167.3799733,-3.40273145,-0.314819375,313,32.65882353
ABalaaaarr,-158.9982333,5.07787515,-0.388927395,313,32.93013972
ABalaaap,-136.125406,7.79289675,-0.233455005,174,46.25689405
ABalaaapa,-164.1197652,2.06185765,-0.052197835,224,38.41149425
ABalaaapal,-167.47832,-8.36418635,-0.096720925,298,33.26646248
ABalaaapar,-175.3040258,1.82904295,-0.001866135,312,31.91316932
ABalaaapp,-145.5687999,8.50625455,-0.054601525,225,38.46171171
ABalaaappl,-169.8069496,8.44404225,-0.091286425,312,32.59911894
ABalaaappr,-151.6570921,13.75492105,-0.178048575,300,33.43831169
ABalaap,-126.6533603,-5.22101675,-0.316343285,136,53.20338983
ABalaapa,-118.401811,5.58519025,-0.363869075,180,45.25620915
ABalaapaa,-146.3474435,9.51875195,-0.388119335,235,37.46038544
ABalaapaaa,-145.4222056,9.62099095,-0.361106505,334,32.42510121
ABalaapaap,-120.2295003,13.28947315,-0.553813655,325,32.11201629
ABalaapap,-122.110166,14.38360485,-0.451301225,234,37.31733915
ABalaapapp,-98.9161914,18.45571555,-0.522612215,309,32.86821705
ABalaapp,-79.3765164,6.16236585,-0.345127905,174,45.54992764
ABalaappa,-126.6043181,14.22109885,-0.000485795,229,37.77909483
ABalaappap,-123.1743951,16.88737995,-0.164028585,308,32.5557554
ABalaappp,-103.7170384,15.67420345,0.131207255,222,38.65801887
ABalaapppa,-138.6153297,16.49894245,0.183689465,315,33.25555556
ABalaapppp,-119.0294348,19.81001605,0.334555675,288,33.79389313
ABalap,-124.2904114,12.49340005,0.429261245,102,60.72520661
ABalapa,-136.1866124,11.62273605,0.338410705,134,53.50973451
ABalapaa,-138.1987436,6.69664455,0.286924135,174,45.79266573
ABalapaaa,-151.4159951,-3.37232605,0.400369345,228,37.75204918
ABalapaaaa,-163.1951216,-6.01781725,0.166449865,353,32.04528986
ABalapaaap,-149.0198734,-8.18394585,0.551625415,300,33.25
ABalapaap,-134.8127366,-8.40604595,0.460602615,224,38.56849315
ABalapaapa,-150.2954136,-12.73438815,0.335074925,319,32.85804416
ABalapaapp,-131.5035334,-15.31980485,0.420437435,290,33.52764613
ABalapap,-106.677127,11.45751465,0.500234635,170,45.70471842
ABalapapa,-121.7556976,-1.41746195,0.654535335,224,37.85309549
ABalapapap,-128.9512935,-4.27814775,0.764036085,289,33.15905245
ABalapapp,-85.3309315,-3.71884305,0.434527475,217,38.875
ABalapappa,-108.3959105,-10.79603795,0.590047235,277,34.1186686
ABalapappp,-76.3984804,-10.31828215,0.624471615,293,33.58823529
ABalapp,-94.8743617,4.06669525,-0.051456085,134,53.70826011
ABalappa,-100.0315419,9.34385245,0.048375845,177,45.29986962
ABalappaa,-148.791703,4.83031265,0.421492925,238,36.88326848
ABalappaap,-155.5799374,4.13081965,0.478671435,338,31.88863636
ABalappap,-124.7534205,9.37923645,0.399720455,226,38.06993007
ABalappapa,-157.1437826,13.12377515,0.312522675,329,32.55025554
ABalappapp,-140.0229625,16.57523705,0.491505525,294,33.47333333
ABalappp,-56.2277913,7.00347565,-0.027196655,171,45.89759036
ABalapppa,-95.9599872,11.43624385,0.445040265,218,38.53526012
ABalapppaa,-138.6991131,9.90411905,0.653826805,294,33.14820144
ABalapppap,-114.9994153,13.24300895,0.793206675,283,33.68069666
ABalapppp,-55.5979183,12.79624345,0.228367665,217,27.5
ABalappppa,-94.2978615,17.17915205,0.466968735,277,33.85692068
ABalappppp,-62.8666055,17.78426445,0.523424575,290,33.48153846
